Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,SET PIECE,KICK OFF,1,51,2.04,51,2.04,Player23,,NaN,NaN,NaN,NaN
Away,PASS,,1,51,2.04,87,3.48,Player23,Player20,0.5,0.5,0.4,0.51
Away,PASS,,1,146,5.84,186,7.44,Player20,Player18,0.43,0.5,0.44,0.22
Away,PASS,,1,248,9.92,283,11.32,Player18,Player17,0.47,0.19,0.31,0.28
Away,PASS,,1,316,12.64,346,13.84,Player17,Player16,0.29,0.32,0.26,0.58
Away,PASS,,1,395,15.8,423,16.92,Player16,Player15,0.26,0.66,0.27,0.91
Away,BALL LOST,INTERCEPTION,1,451,18.04,504,20.16,Player15,,0.26,0.92,0.64,0.93
Away,CHALLENGE,GROUND-LOST,1,504,20.16,504,20.16,Player23,,0.61,0.93,NaN,NaN
Home,CHALLENGE,GROUND-WON,1,504,20.16,504,20.16,Player3,,0.62,0.92,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,504,20.16,504,20.16,Player3,,0.62,0.92,NaN,NaN
Home,BALL OUT,,1,504,20.16,534,21.36,Player3,,0.62,0.92,0.54,1.01
Away,SET PIECE,THROW IN,1,672,26.88,672,26.88,Player15,,NaN,NaN,NaN,NaN
Away,PASS,,1,672,26.88,722,28.88,Player15,Player16,0.5,1.01,0.33,0.92
Away,PASS,,1,768,30.72,808,32.32,Player16,Player17,0.29,0.84,0.23,0.53
Away,PASS,,1,855,34.2,925,37,Player17,Player16,0.22,0.51,0.23,0.87
Away,PASS,,1,925,37,947,37.88,Player16,Player15,0.23,0.87,0.28,0.99
Away,PASS,,1,956,38.24,1016,40.64,Player15,Player16,0.28,0.99,0.15,0.9
Away,BALL LOST,INTERCEPTION,1,1016,40.64,1087,43.48,Player16,,0.15,0.9,0.51,0.7
Home,CHALLENGE,AERIAL-WON,1,1084,43.36,1084,43.36,Player6,,0.51,0.75,NaN,NaN
Home,RECOVERY,INTERCEPTION,1,1084,43.36,1084,43.36,Player6,,0.51,0.75,NaN,NaN
Home,BALL LOST,HEAD-INTERCEPTION,1,1084,43.36,1121,44.84,Player6,,0.51,0.75,0.38,0.63
Away,CHALLENGE,AERIAL-LOST,1,1087,43.48,1087,43.48,Player23,,0.5,0.75,NaN,NaN
Away,RECOVERY,INTERCEPTION,1,1121,44.84,1121,44.84,Player21,,0.42,0.66,NaN,NaN
Away,PASS,,1,1155,46.2,1170,46.8,Player21,Player20,0.4,0.67,0.36,0.65
Away,PASS,,1,1170,46.8,1224,48.96,Player20,Player18,0.36,0.65,0.36,0.24
Away,PASS,,1,1289,51.56,1319,52.76,Player18,Player24,0.49,0.18,0.62,0.18
Away,BALL LOST,INTERCEPTION,1,1392,55.68,1429,57.16,Player24,,0.72,0.04,0.87,0.13
Home,RECOVERY,INTERCEPTION,1,1431,57.24,1431,57.24,Player1,,0.87,0.13,NaN,NaN
Home,PASS,,1,1467,58.68,1489,59.56,Player1,Player11,0.94,0.19,1,0.35
Home,PASS,,1,1489,59.56,1578,63.12,Player11,Player9,1,0.35,0.59,0.14
Away,CHALLENGE,AERIAL-LOST,1,1576,63.04,1576,63.04,Player18,,0.59,0.14,NaN,NaN
Home,CHALLENGE,AERIAL-WON,1,1578,63.12,1578,63.12,Player9,,0.59,0.14,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,1578,63.12,1611,64.44,Player9,,0.59,0.14,0.52,0.29
Away,RECOVERY,INTERCEPTION,1,1610,64.4,1610,64.4,Player16,,0.5,0.29,NaN,NaN
Away,BALL LOST,HEAD-INTERCEPTION,1,1610,64.4,1673,66.92,Player16,,0.5,0.29,0.7,0.32
Home,RECOVERY,INTERCEPTION,1,1672,66.88,1672,66.88,Player6,,0.68,0.28,NaN,NaN
Home,PASS,HEAD,1,1672,66.88,1693,67.72,Player6,Player7,0.68,0.28,0.68,0.37
Home,BALL LOST,HEAD,1,1693,67.72,1724,68.96,Player7,,0.68,0.37,0.68,0.34
Away,RECOVERY,,1,1721,68.84,1721,68.84,Player24,,0.67,0.33,NaN,NaN
Away,PASS,,1,1721,68.84,1753,70.12,Player24,Player21,0.67,0.33,0.58,0.44
Away,PASS,,1,1780,71.2,1843,73.72,Player21,Player15,0.59,0.48,0.56,0.84
Away,BALL LOST,INTERCEPTION,1,1843,73.72,1876,75.04,Player15,,0.56,0.84,0.69,0.72
Home,RECOVERY,INTERCEPTION,1,1874,74.96,1874,74.96,Player7,,0.68,0.71,NaN,NaN
Home,BALL LOST,INTERCEPTION,1,1874,74.96,1918,76.72,Player7,,0.68,0.71,0.58,0.86
Away,RECOVERY,,1,1915,76.6,1915,76.6,Player15,,0.56,0.88,NaN,NaN
Away,PASS,,1,1936,77.44,1993,79.72,Player15,Player16,0.54,0.88,0.34,0.73
Away,PASS,,1,2024,80.96,2079,83.16,Player16,Player17,0.32,0.68,0.32,0.38
Away,PASS,,1,2199,87.96,2241,89.64,Player17,Player16,0.38,0.38,0.34,0.68
Away,PASS,,1,2285,91.4,2320,92.8,Player16,Player15,0.35,0.71,0.43,0.94
Away,PASS,,1,2350,94,2370,94.8,Player15,Player19,0.43,0.95,0.53,1
